epoch,accuracy,loss,val_accuracy,val_loss,,,,,,,,,,,,,,,,,,,
0,0.7280603051185608,1.262387990951538,0.9601069688796997,0.13853202760219574,,,,,,,,,,,,,,,,,,,
1,0.9592289924621582,0.14895546436309814,0.9836102724075317,0.053609021,,,,,,,,,,,,,,,,,,,
2,0.9778078198432922,0.075534694,0.9886182546615601,0.033875927329063416,,,,,,,,,,,,,,,,,,,
3,0.9858311414718628,0.047526031732559204,0.993057132,0.020748576149344444,,,,,,,,,,,,,,,,,,,
4,0.990326464,0.033409096,0.9951627850532532,0.015385746955871582,,,,,,,,,,,,,,,,,,,
5,0.991706371,0.027201338,0.9955611228942871,0.011952344328165054,,,,,,,,,,,,,,,,,,,
6,0.993769109,0.020968088880181313,0.996585488,0.010065401904284954,,,,,,,,,,,,,,,,,,,
7,0.9944377541542053,0.017509574070572853,0.9966424107551575,0.009784313,,,,,,,,,,,,,,,,,,,
8,0.9955615401268005,0.014778146520256996,0.9973253011703491,0.009329638,,,,,,,,,,,,,,,,,,,
9,0.9964720010757446,0.012410271912813187,0.9967561960220337,0.009503999,,,,,,,,,,,,,,,,,,,
10,0.9969699382781982,0.010396592319011688,0.9971545934677124,0.009064957,,,,,,,,,,,,,,,,,,,
11,0.9971975088119507,0.008924097,0.9985203742980957,0.00515797,,,,,,,,,,,,,,,,,,,
12,0.9975674152374268,0.00787617,0.998349667,0.005269918,,,,,,,,,,,,,,,,,,,
13,0.9978803396224976,0.007681438,0.9976098537445068,0.00737654,,,,,,,,,,,,,,,,,,,
14,0.9980795383453369,0.006944792,0.9980081915855408,0.006572433,,,,,,,,,,,,,,,,,,,
15,0.9982360005378723,0.00583879,0.998235822,0.005427571,,,,,,,,,,,,,,,,,,,
16,0.9982075691223145,0.005547676,0.9985772967338562,0.004796603,,,,,,,,,,,,,,,,,,,
17,0.998406708,0.004971466,0.9984065294265747,0.004305094,,,,,,,,,,,,,,,,,,,
18,0.9987338781356812,0.004263245,0.998235822,0.005858839,,,,,,,,,,,,,,,,,,,
19,0.9986058473587036,0.00414626,0.9958456754684448,0.015365921892225742,,,,,,,,,,,,,,,,,,,
20,0.9989188313484192,0.003973499,0.9961302280426025,0.014770308509469032,,,,,,,,,,,,,,,,,,,
21,0.9989188313484192,0.003798583,0.9986910820007324,0.004874696,,,,,,,,,,,,,,,,,,,
22,0.999061108,0.003286795,0.9985772967338562,0.005342684,,,,,,,,,,,,,,,,,,,
23,0.9989757537841797,0.003471604,0.9981788992881775,0.007519414,,,,,,,,,,,,,,,,,,,
24,0.9992318153381348,0.002618665,0.9985772967338562,0.005961946,,,,,,,,,,,,,,,,,,,
25,0.9990326762199402,0.003218805,0.9982927441596985,0.005889038,,,,,,,,,,,,,,,,,,,
26,0.999274492,0.002600853,0.9975529313087463,0.008930738,,,,,,,,,,,,,,,,,,,
27,0.998876154,0.003100161,0.9991463422775269,0.003600221,,,,,,,,,,,,,,,,,,,
28,0.9991607069969177,0.003044543,0.9989187121391296,0.003933115,,,,,,,,,,,,,,,,,,,
29,0.9993314146995544,0.002417395,0.9990894794464111,0.00343663,,,,,,,,,,,,,,,,,,,
30,0.999274492,0.002372799,0.9989187121391296,0.005120212,,,,,,,,,,,,,,,,,,,
31,0.9992602467536926,0.002526167,0.9989187121391296,0.004362485,,,,,,,,,,,,,,,,,,,
32,0.9991748929023743,0.002249307,0.9988049268722534,0.005102547,,,,,,,,,,,,,,,,,,,
33,0.9994025230407715,0.001852614,0.9990325570106506,0.004503632,,,,,,,,,,,,,,,,,,,
34,0.9993314146995544,0.002135969,0.9989756345748901,0.003885578,,,,,,,,,,,,,,,,,,,
35,0.9994736313819885,0.002068598,0.9989187121391296,0.004481107,,,,,,,,,,,,,,,,,,,
36,0.999345601,0.001929063,0.9984065294265747,0.007129413,,,,,,,,,,,,,,,,,,,
37,0.9993740916252136,0.001980092,0.9986910820007324,0.00595856,,,,,,,,,,,,,,,,,,,
38,0.9995163083076477,0.001594053,0.9989756345748901,0.005081927,,,,,,,,,,,,,,,,,,,
39,0.9993029236793518,0.001983702,0.9987480044364929,0.006302204,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
