epoch,accuracy,loss,val_accuracy,val_loss
0,0.8179102540016174,0.6560916304588318,0.9169132709503174,0.45714330673217773
1,0.9617753624916077,0.11610570549964905,0.9073526263237,1.1465208530426025
2,0.9710078835487366,0.08856504410505295,0.9745048880577087,0.08415396511554718
3,0.9767408967018127,0.07257414609193802,0.9689278602600098,0.10647565126419067
4,0.9796002507209778,0.06214394047856331,0.9470748901367188,0.23943012952804565
5,0.9822747111320496,0.05559030920267105,0.977862536907196,0.07464450597763062
6,0.9854470491409302,0.04453635588288307,0.9736512899398804,0.11306910961866379
7,0.9860160946846008,0.04309331998229027,0.9814477562904358,0.0658477321267128
8,0.98641437292099,0.04093163460493088,0.9609606266021729,0.19075067341327667
9,0.9879365563392639,0.03743239492177963,0.985203742980957,0.049768708646297455
10,0.9895440936088562,0.03229600191116333,0.9755861759185791,0.10441160947084427
11,0.9884060025215149,0.03566545993089676,0.9823582768440247,0.06745092570781708
12,0.9898285865783691,0.03053871914744377,0.9888458847999573,0.03906364366412163
13,0.9898428320884705,0.02955884300172329,0.9846915602684021,0.06224104017019272
14,0.9898855090141296,0.03087395243346691,0.9898133277893066,0.03440253809094429
15,0.9912796020507812,0.026514777913689613,0.9845208525657654,0.06359446048736572
16,0.9912369251251221,0.02807832695543766,0.986967921257019,0.053309809416532516
17,0.9922469854354858,0.024113057181239128,0.9927725791931152,0.027632536366581917
18,0.9921900629997253,0.0255566518753767,0.9931140542030334,0.028151609003543854
19,0.9926595091819763,0.02242792211472988,0.9910084009170532,0.033870451152324677
20,0.9923465251922607,0.023844018578529358,0.9779193997383118,0.10226795822381973
21,0.9921331405639648,0.02513035386800766,0.993170976638794,0.028380680829286575
22,0.9927306175231934,0.02237010933458805,0.9922035336494446,0.03142848238348961
23,0.9928586483001709,0.02111721597611904,0.9898702502250671,0.039594560861587524
24,0.9932427406311035,0.022058634087443352,0.9903824329376221,0.039126623421907425
25,0.9935130476951599,0.02150973118841648,0.9909515380859375,0.03809301182627678
26,0.9931573867797852,0.02148362435400486,0.9872524738311768,0.061079803854227066
27,0.9939682483673096,0.019244302064180374,0.9915775060653687,0.033488743007183075
