epoch,accuracy,loss,val_accuracy,val_loss,,,,,,,,,,,,,,,,,,,
0,0.7309765815734863,1.2444008588790894,0.9587411880493164,0.14288675785064697,,,,,,,,,,,,,,,,,,,
1,0.9578490853309631,0.15214648842811584,0.9834964871406555,0.051645748,,,,,,,,,,,,,,,,,,,
2,0.9777651429176331,0.075582951,0.9896426200866699,0.030469814,,,,,,,,,,,,,,,,,,,
3,0.9851767420768738,0.048730313777923584,0.9929433465003967,0.022166980430483818,,,,,,,,,,,,,,,,,,,
4,0.9893448948860168,0.03472672,0.9941384196281433,0.01681269,,,,,,,,,,,,,,,,,,,
5,0.9921189546585083,0.026046907529234886,0.9949350953102112,0.014970129355788231,,,,,,,,,,,,,,,,,,,
6,0.9932000637054443,0.021827371791005135,0.9953334927558899,0.013337417505681515,,,,,,,,,,,,,,,,,,,
7,0.9945942163467407,0.017839666455984116,0.9971545934677124,0.009297986,,,,,,,,,,,,,,,,,,,
8,0.9959172010421753,0.013677114620804787,0.9973822236061096,0.009019043,,,,,,,,,,,,,,,,,,,
9,0.9961163401603699,0.012720632366836071,0.9973822236061096,0.009034194,,,,,,,,,,,,,,,,,,,
10,0.9966569542884827,0.010902460664510727,0.9975529313087463,0.007552241,,,,,,,,,,,,,,,,,,,
11,0.9966996312141418,0.010020856745541096,0.997837484,0.007034722,,,,,,,,,,,,,,,,,,,
12,0.9975531697273254,0.007782524,0.9980081915855408,0.006679,,,,,,,,,,,,,,,,,,,
13,0.997681201,0.007115857,0.9976098537445068,0.008162715,,,,,,,,,,,,,,,,,,,
14,0.9977665543556213,0.007071528,0.9976098537445068,0.007172818,,,,,,,,,,,,,,,,,,,
15,0.9981079697608948,0.006174376,0.998235822,0.005532491,,,,,,,,,,,,,,,,,,,
16,0.9982644319534302,0.005562034,0.9978944063186646,0.006595795,,,,,,,,,,,,,,,,,,,
17,0.9983640313148499,0.005330561,0.9977236390113831,0.006484464,,,,,,,,,,,,,,,,,,,
18,0.9986770153045654,0.004462139,0.9977805614471436,0.0072956,,,,,,,,,,,,,,,,,,,
